Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
page-blocks0-5-fold,0.935,0.949,0.945,0.945,0.943,0.949,0.580,0.717,0.619,0.615,0.649,0.662,0.727,0.767,0.800,0.798,0.761,0.805,0.644,0.741,0.697,0.694,0.698,0.726,0.751,0.836,0.780,0.777,0.795,0.806
ecoli-0-3-4_vs_5-5-fold,0.950,0.955,0.955,0.960,0.955,0.970,0.700,0.750,0.750,0.750,0.700,0.850,0.787,0.760,0.783,0.850,0.800,0.880,0.717,0.744,0.764,0.783,0.738,0.854,0.815,0.833,0.848,0.850,0.809,0.912
yeast-2_vs_4-5-fold,0.961,0.947,0.959,0.957,0.947,0.946,0.705,0.647,0.665,0.629,0.647,0.665,0.891,0.807,0.916,0.933,0.793,0.754,0.781,0.708,0.759,0.740,0.707,0.705,0.834,0.795,0.809,0.787,0.795,0.804
ecoli-0-6-7_vs_3-5-5-fold,0.901,0.964,0.951,0.951,0.964,0.946,0.370,0.720,0.660,0.680,0.720,0.680,0.336,0.760,0.680,0.653,0.760,0.627,0.342,0.728,0.649,0.656,0.728,0.638,0.455,0.752,0.713,0.720,0.752,0.717
ecoli-0-2-3-4_vs_5-5-fold,0.946,0.955,0.960,0.950,0.960,0.970,0.700,0.750,0.700,0.700,0.750,0.800,0.770,0.787,0.883,0.783,0.817,0.883,0.726,0.762,0.769,0.736,0.779,0.836,0.823,0.847,0.825,0.821,0.850,0.883
glass-0-1-5_vs_2-5-fold,0.901,0.878,0.884,0.901,0.878,0.872,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
yeast-0-3-5-9_vs_7-8-5-fold,0.915,0.911,0.915,0.917,0.903,0.911,0.200,0.220,0.200,0.200,0.200,0.220,0.817,0.750,0.817,0.883,0.430,0.707,0.312,0.322,0.312,0.317,0.271,0.319,0.440,0.458,0.440,0.440,0.393,0.458
yeast-0-2-5-6_vs_3-7-8-9-5-fold,0.932,0.925,0.932,0.933,0.930,0.924,0.453,0.495,0.473,0.465,0.453,0.343,0.756,0.666,0.749,0.759,0.723,0.759,0.561,0.565,0.571,0.568,0.551,0.469,0.662,0.692,0.676,0.669,0.659,0.580
ecoli-0-4-6_vs_5-5-fold,0.907,0.956,0.956,0.956,0.951,0.956,0.400,0.750,0.750,0.750,0.750,0.750,0.486,0.810,0.820,0.820,0.783,0.803,0.409,0.771,0.776,0.776,0.753,0.769,0.541,0.852,0.852,0.852,0.849,0.852
ecoli-0-1_vs_2-3-5-5-fold,0.951,0.959,0.963,0.963,0.959,0.959,0.690,0.770,0.730,0.730,0.770,0.730,0.807,0.830,0.893,0.893,0.830,0.803,0.702,0.748,0.754,0.754,0.748,0.743,0.803,0.847,0.827,0.827,0.847,0.826
ecoli-0-2-6-7_vs_3-5-5-fold,0.920,0.969,0.946,0.955,0.951,0.946,0.460,0.710,0.550,0.630,0.670,0.670,0.620,0.967,0.720,0.920,0.837,0.783,0.512,0.798,0.600,0.714,0.718,0.701,0.649,0.832,0.652,0.778,0.802,0.801
glass-0-4_vs_5-5-fold,0.902,0.967,0.957,0.924,0.978,0.967,0.000,0.800,0.600,0.400,1.000,1.000,0.000,0.933,1.000,0.500,0.833,0.767,0.000,0.827,0.733,0.433,0.893,0.853,0.000,0.877,0.766,0.478,0.988,0.982
ecoli-0-3-4-6_vs_5-5-fold,0.912,0.971,0.951,0.956,0.961,0.966,0.450,0.800,0.700,0.750,0.800,0.750,0.633,0.910,0.817,0.864,0.833,0.910,0.461,0.842,0.729,0.772,0.803,0.804,0.626,0.888,0.819,0.850,0.883,0.856
ecoli-0-3-4-7_vs_5-6-5-fold,0.938,0.973,0.961,0.957,0.961,0.969,0.600,0.840,0.680,0.680,0.840,0.840,0.717,0.877,0.920,0.870,0.780,0.870,0.645,0.853,0.770,0.753,0.802,0.836,0.760,0.907,0.819,0.817,0.901,0.904
yeast-0-5-6-7-9_vs_4-5-fold,0.920,0.926,0.930,0.919,0.930,0.920,0.278,0.416,0.378,0.298,0.456,0.338,0.808,0.775,0.855,0.780,0.737,0.748,0.384,0.509,0.479,0.401,0.535,0.429,0.507,0.628,0.585,0.528,0.652,0.557
vowel0-5-fold,0.973,0.973,0.969,0.968,0.976,0.969,0.789,0.811,0.744,0.778,0.811,0.778,0.908,0.881,0.892,0.852,0.913,0.861,0.839,0.843,0.810,0.812,0.858,0.816,0.883,0.894,0.857,0.874,0.896,0.875
ecoli-0-6-7_vs_5-5-fold,0.905,0.968,0.955,0.955,0.973,0.945,0.250,0.800,0.650,0.650,0.800,0.700,0.433,0.850,0.853,0.853,0.900,0.760,0.314,0.821,0.699,0.699,0.843,0.678,0.435,0.886,0.782,0.782,0.888,0.806
glass-0-1-6_vs_2-5-fold,0.912,0.896,0.912,0.912,0.891,0.906,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ecoli-0-1-4-7_vs_2-3-5-6-5-fold,0.943,0.961,0.955,0.961,0.967,0.964,0.560,0.693,0.593,0.627,0.793,0.693,0.743,0.847,0.853,0.893,0.860,0.877,0.627,0.756,0.688,0.729,0.807,0.767,0.733,0.824,0.759,0.782,0.880,0.825
led7digit-0-2-4-5-6-7-8-9_vs_1-5-fold,0.962,0.959,0.962,0.962,0.959,0.964,0.729,0.732,0.729,0.729,0.704,0.811,0.810,0.777,0.810,0.810,0.796,0.789,0.759,0.750,0.759,0.759,0.742,0.787,0.845,0.846,0.845,0.845,0.830,0.886
ecoli-0-1_vs_5-5-fold,0.950,0.967,0.958,0.967,0.963,0.967,0.650,0.800,0.650,0.750,0.800,0.750,0.787,0.830,0.810,0.843,0.810,0.883,0.674,0.794,0.699,0.775,0.781,0.777,0.787,0.880,0.782,0.850,0.878,0.849
glass-0-1-4-6_vs_2-5-fold,0.917,0.902,0.917,0.917,0.898,0.907,0.000,0.050,0.000,0.000,0.050,0.000,0.000,0.100,0.000,0.000,0.100,0.000,0.000,0.067,0.000,0.000,0.067,0.000,0.000,0.099,0.000,0.000,0.099,0.000
glass2-5-fold,0.921,0.907,0.921,0.921,0.902,0.911,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.096,0.000,0.000,0.000,0.000
