Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
vehicle3-5-fold,0.793,0.788,0.792,0.792,0.790,0.796,0.410,0.401,0.405,0.410,0.401,0.405,0.636,0.623,0.638,0.634,0.627,0.649,0.497,0.485,0.493,0.496,0.487,0.497,0.613,0.605,0.610,0.613,0.605,0.611
glass-0-1-2-3_vs_4-5-6-5-fold,0.944,0.944,0.944,0.944,0.944,0.935,0.900,0.900,0.900,0.900,0.900,0.842,0.873,0.873,0.873,0.873,0.873,0.885,0.882,0.882,0.882,0.882,0.882,0.855,0.926,0.926,0.926,0.926,0.926,0.897
vehicle0-5-fold,0.975,0.975,0.975,0.975,0.974,0.974,0.950,0.950,0.950,0.950,0.950,0.945,0.945,0.945,0.945,0.945,0.940,0.945,0.947,0.947,0.947,0.947,0.945,0.944,0.966,0.966,0.966,0.966,0.965,0.963
ecoli1-5-fold,0.908,0.908,0.905,0.905,0.905,0.908,0.792,0.792,0.792,0.792,0.792,0.792,0.813,0.813,0.804,0.804,0.804,0.813,0.797,0.797,0.793,0.793,0.793,0.797,0.861,0.861,0.860,0.860,0.860,0.861
new-thyroid1-5-fold,0.981,0.977,0.991,0.981,0.991,0.986,0.886,0.857,0.943,0.886,0.943,0.914,1.000,1.000,1.000,1.000,1.000,1.000,0.936,0.918,0.969,0.936,0.969,0.954,0.939,0.923,0.970,0.939,0.970,0.955
ecoli2-5-fold,0.953,0.953,0.953,0.953,0.955,0.955,0.755,0.755,0.755,0.755,0.773,0.775,0.929,0.929,0.929,0.929,0.929,0.929,0.828,0.828,0.828,0.828,0.840,0.840,0.861,0.861,0.861,0.861,0.872,0.872
segment0-5-fold,0.998,0.998,0.998,0.998,0.998,0.998,0.988,0.988,0.988,0.988,0.988,0.988,0.997,0.997,0.997,0.997,0.997,0.997,0.992,0.992,0.992,0.992,0.992,0.992,0.994,0.994,0.994,0.994,0.994,0.994
glass6-5-fold,0.963,0.963,0.963,0.963,0.963,0.963,0.767,0.767,0.767,0.767,0.767,0.767,0.967,0.967,0.967,0.967,0.967,0.967,0.847,0.847,0.847,0.847,0.847,0.847,0.870,0.870,0.870,0.870,0.870,0.870
yeast3-5-fold,0.944,0.944,0.944,0.944,0.943,0.946,0.668,0.668,0.668,0.668,0.668,0.687,0.791,0.791,0.791,0.791,0.785,0.796,0.723,0.723,0.723,0.723,0.720,0.736,0.807,0.807,0.807,0.807,0.807,0.819
ecoli3-5-fold,0.922,0.922,0.922,0.922,0.922,0.925,0.486,0.486,0.486,0.486,0.486,0.514,0.728,0.728,0.728,0.728,0.728,0.737,0.560,0.560,0.560,0.560,0.560,0.579,0.676,0.676,0.676,0.676,0.676,0.694
page-blocks0-5-fold,0.977,0.977,0.977,0.977,0.977,0.977,0.880,0.880,0.880,0.880,0.880,0.882,0.893,0.893,0.891,0.893,0.891,0.892,0.886,0.886,0.885,0.886,0.885,0.886,0.932,0.932,0.932,0.932,0.932,0.933
ecoli-0-3-4_vs_5-5-fold,0.965,0.965,0.965,0.965,0.965,0.965,0.750,0.750,0.750,0.750,0.750,0.750,0.867,0.867,0.867,0.867,0.867,0.867,0.800,0.800,0.800,0.800,0.800,0.800,0.852,0.852,0.852,0.852,0.852,0.852
yeast-2_vs_4-5-fold,0.957,0.957,0.957,0.957,0.957,0.959,0.687,0.687,0.687,0.687,0.687,0.707,0.876,0.876,0.876,0.876,0.876,0.880,0.762,0.762,0.762,0.762,0.762,0.774,0.822,0.822,0.822,0.822,0.822,0.834
ecoli-0-6-7_vs_3-5-5-fold,0.964,0.964,0.964,0.964,0.964,0.960,0.710,0.710,0.710,0.710,0.710,0.660,0.760,0.760,0.760,0.760,0.760,0.760,0.727,0.727,0.727,0.727,0.727,0.698,0.750,0.750,0.750,0.750,0.750,0.723
