Dataset,acc - NS,acc - SS,acc - MM,acc - MA,acc - RS,acc - QT,recall - NS,recall - SS,recall - MM,recall - MA,recall - RS,recall - QT,precision - NS,precision - SS,precision - MM,precision - MA,precision - RS,precision - QT,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
vehicle3-5-fold,0.801,0.801,0.801,0.800,0.800,0.803,0.490,0.490,0.490,0.490,0.490,0.490,0.635,0.635,0.635,0.631,0.631,0.639,0.551,0.551,0.551,0.549,0.549,0.553,0.664,0.664,0.664,0.664,0.664,0.665
glass-0-1-2-3_vs_4-5-6-5-fold,0.930,0.930,0.930,0.930,0.930,0.930,0.802,0.802,0.802,0.802,0.802,0.802,0.901,0.901,0.901,0.901,0.901,0.901,0.843,0.843,0.843,0.843,0.843,0.843,0.880,0.880,0.880,0.880,0.880,0.880
vehicle0-5-fold,0.968,0.968,0.968,0.969,0.968,0.968,0.930,0.930,0.930,0.935,0.930,0.930,0.936,0.936,0.936,0.936,0.936,0.936,0.932,0.932,0.932,0.934,0.932,0.932,0.954,0.954,0.954,0.957,0.954,0.954
ecoli1-5-fold,0.911,0.911,0.911,0.911,0.911,0.911,0.779,0.779,0.779,0.779,0.779,0.779,0.833,0.833,0.833,0.833,0.833,0.833,0.803,0.803,0.803,0.803,0.803,0.803,0.860,0.860,0.860,0.860,0.860,0.860
new-thyroid1-5-fold,0.981,0.981,0.981,0.981,0.981,0.981,0.914,0.914,0.914,0.914,0.914,0.914,0.975,0.975,0.975,0.975,0.975,0.975,0.938,0.938,0.938,0.938,0.938,0.938,0.951,0.951,0.951,0.951,0.951,0.951
ecoli2-5-fold,0.929,0.929,0.929,0.929,0.929,0.932,0.711,0.711,0.711,0.711,0.711,0.751,0.811,0.811,0.811,0.811,0.811,0.799,0.752,0.752,0.752,0.752,0.752,0.770,0.827,0.827,0.827,0.827,0.827,0.849
segment0-5-fold,0.997,0.996,0.997,0.997,0.997,0.997,0.988,0.985,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.986,0.988,0.988,0.988,0.988,0.993,0.991,0.993,0.993,0.993,0.993
glass6-5-fold,0.963,0.963,0.963,0.963,0.963,0.958,0.767,0.767,0.767,0.767,0.767,0.727,0.967,0.967,0.967,0.967,0.967,0.967,0.847,0.847,0.847,0.847,0.847,0.824,0.870,0.870,0.870,0.870,0.870,0.849
yeast3-5-fold,0.943,0.943,0.943,0.943,0.943,0.943,0.717,0.717,0.717,0.717,0.717,0.717,0.759,0.759,0.759,0.759,0.759,0.759,0.735,0.735,0.735,0.735,0.735,0.735,0.834,0.834,0.834,0.834,0.834,0.834
ecoli3-5-fold,0.931,0.931,0.931,0.931,0.931,0.934,0.657,0.657,0.657,0.657,0.657,0.657,0.676,0.676,0.676,0.676,0.676,0.694,0.661,0.661,0.661,0.661,0.661,0.671,0.791,0.791,0.791,0.791,0.791,0.792
page-blocks0-5-fold,0.974,0.974,0.974,0.974,0.974,0.974,0.868,0.868,0.869,0.868,0.868,0.868,0.878,0.878,0.879,0.878,0.878,0.877,0.873,0.873,0.874,0.873,0.873,0.872,0.925,0.925,0.926,0.925,0.925,0.925
ecoli-0-3-4_vs_5-5-fold,0.955,0.955,0.955,0.955,0.955,0.955,0.750,0.750,0.750,0.750,0.750,0.750,0.800,0.800,0.800,0.800,0.800,0.800,0.760,0.760,0.760,0.760,0.760,0.760,0.846,0.846,0.846,0.846,0.846,0.846
yeast-2_vs_4-5-fold,0.946,0.946,0.946,0.946,0.946,0.946,0.747,0.747,0.747,0.747,0.747,0.747,0.764,0.764,0.764,0.764,0.764,0.764,0.733,0.733,0.733,0.733,0.733,0.733,0.847,0.847,0.847,0.847,0.847,0.847
ecoli-0-6-7_vs_3-5-5-fold,0.964,0.964,0.964,0.964,0.964,0.964,0.760,0.760,0.760,0.760,0.760,0.760,0.720,0.720,0.720,0.720,0.720,0.720,0.733,0.733,0.733,0.733,0.733,0.733,0.774,0.774,0.774,0.774,0.774,0.774
ecoli-0-2-3-4_vs_5-5-fold,0.960,0.960,0.960,0.960,0.960,0.960,0.750,0.750,0.750,0.750,0.750,0.750,0.850,0.850,0.850,0.850,0.850,0.850,0.793,0.793,0.793,0.793,0.793,0.793,0.855,0.855,0.855,0.855,0.855,0.855
glass-0-1-5_vs_2-5-fold,0.884,0.884,0.884,0.884,0.884,0.884,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.161,0.161,0.161,0.161,0.161,0.161
yeast-0-3-5-9_vs_7-8-5-fold,0.913,0.913,0.913,0.913,0.913,0.913,0.260,0.260,0.260,0.260,0.260,0.260,0.627,0.627,0.627,0.627,0.627,0.627,0.366,0.366,0.366,0.366,0.366,0.366,0.495,0.495,0.495,0.495,0.495,0.495
yeast-0-2-5-6_vs_3-7-8-9-5-fold,0.935,0.935,0.935,0.935,0.935,0.935,0.524,0.524,0.524,0.524,0.524,0.524,0.739,0.739,0.739,0.739,0.739,0.739,0.604,0.604,0.604,0.604,0.604,0.604,0.710,0.710,0.710,0.710,0.710,0.710
ecoli-0-4-6_vs_5-5-fold,0.965,0.965,0.965,0.965,0.965,0.965,0.750,0.750,0.750,0.750,0.750,0.750,0.883,0.883,0.883,0.883,0.883,0.883,0.807,0.807,0.807,0.807,0.807,0.807,0.857,0.857,0.857,0.857,0.857,0.857
